topic,part
The Role of Technology in Modern Communication,3
The Impact of Historical Events on Modern Society,3
Hobbies and interests,1
The Environment,1
A recent experience that challenged your beliefs,2
Public Transport,1
The Influence of Family Traditions on Personal Values,1
Education and learning,1
A place you have visited that left a strong impression on you,2
A special gift you have received,2
A recent experience that made you feel accomplished,1
A time you had to work in a team,1
The influence of technology on education,3
A time when you had to make an important decision,2
A public place you enjoy spending time in,2
A person you admire,2
A place you would like to visit in the future,1
A holiday you recently enjoyed,1
A special gift you have received,2
A time when you had to deal with a difficult situation,2
A time when you had to learn something new quickly,2
A skill you would like to learn,2
A piece of advice you have received,2
